Sex:female,Pclass:1,Pclass:3,Embarked:S,Embarked:C,Cabin_Names_label_enc,Title_label_enc,Family:No,Family:Small,Age_label_enc,Age,Fare_label_enc,Fare
0,0,1,1,0,0,0,0,1,2,22.0,0,7.25
1,1,0,0,1,3,4,0,1,1,38.0,1,71.2833
1,0,1,1,0,0,3,1,0,1,26.0,0,7.925
1,1,0,1,0,3,4,0,1,1,35.0,1,53.1
0,0,1,1,0,0,0,1,0,1,35.0,0,8.05
0,0,1,0,0,0,0,1,0,1,30.0,0,8.4583
0,1,0,1,0,5,0,1,0,3,54.0,1,51.8625
0,0,1,1,0,0,2,0,0,5,2.0,0,21.075
1,0,1,1,0,0,4,0,1,1,27.0,0,11.1333
1,0,0,0,1,0,4,0,1,4,14.0,0,30.0708
1,0,1,1,0,7,3,0,1,5,4.0,0,16.7
1,1,0,1,0,3,3,1,0,3,58.0,0,26.55
0,0,1,1,0,0,0,1,0,2,20.0,0,8.05
0,0,1,1,0,0,0,0,0,1,39.0,0,31.275
1,0,1,1,0,0,3,1,0,4,14.0,0,7.8542
1,0,0,1,0,0,4,1,0,3,55.0,0,16.0
0,0,1,0,0,0,2,0,0,5,2.0,0,29.125
0,0,0,1,0,0,0,1,0,1,30.0,0,13.0
1,0,1,1,0,0,4,0,1,1,31.0,0,18.0
1,0,1,0,1,0,4,1,0,1,35.0,0,7.225
0,0,0,1,0,0,0,1,0,1,35.0,0,26.0
0,0,0,1,0,4,0,1,0,1,34.0,0,13.0
1,0,1,0,0,0,3,1,0,4,15.0,0,8.0292
0,1,0,1,0,1,0,1,0,1,28.0,0,35.5
1,0,1,1,0,0,3,0,0,5,8.0,0,21.075
1,0,1,1,0,0,4,0,0,1,38.0,0,31.3875
0,0,1,0,1,0,0,1,0,1,30.0,0,7.225
0,1,0,1,0,3,0,0,0,2,19.0,2,263.0
1,0,1,0,0,0,3,1,0,2,21.0,0,7.8792
0,0,1,1,0,0,0,1,0,1,30.0,0,7.8958
0,1,0,0,1,0,1,1,0,1,40.0,0,27.7208
1,1,0,0,1,2,4,0,1,1,35.0,2,146.5208
1,0,1,0,0,0,3,1,0,2,21.0,0,7.75
0,0,0,1,0,0,0,1,0,0,66.0,0,10.5
0,1,0,0,1,0,0,0,1,1,28.0,1,82.1708
0,1,0,1,0,0,0,0,1,3,42.0,1,52.0
0,0,1,0,1,0,0,1,0,1,30.0,0,7.2292
0,0,1,1,0,0,0,1,0,2,21.0,0,8.05
1,0,1,1,0,0,3,0,1,4,18.0,0,18.0
1,0,1,0,1,0,3,0,1,4,14.0,0,11.2417
1,0,1,1,0,0,4,0,1,1,40.0,0,9.475
1,0,0,1,0,0,4,0,1,1,27.0,0,21.0
0,0,1,0,1,0,0,1,0,1,30.0,0,7.8958
1,0,0,0,1,0,3,0,1,5,3.0,0,41.5792
1,0,1,0,0,0,3,1,0,2,19.0,0,7.8792
0,0,1,1,0,0,0,1,0,1,30.0,0,8.05
0,0,1,0,0,0,0,0,1,1,30.0,0,15.5
1,0,1,0,0,0,3,1,0,2,21.0,0,7.75
0,0,1,0,1,0,0,0,1,1,30.0,0,21.6792
1,0,1,1,0,0,4,0,1,4,18.0,0,17.8
0,0,1,1,0,0,2,0,0,5,7.0,0,39.6875
0,0,1,1,0,0,0,1,0,2,21.0,0,7.8
1,1,0,0,1,4,4,0,1,3,49.0,1,76.7292
1,0,0,1,0,0,4,0,1,1,29.0,0,26.0
0,1,0,0,1,2,0,0,1,0,65.0,1,61.9792
0,1,0,1,0,3,0,1,0,1,30.0,0,35.5
1,0,0,1,0,0,3,1,0,2,21.0,0,10.5
0,0,1,0,1,0,0,1,0,1,28.5,0,7.2292
1,0,0,1,0,0,3,0,1,5,5.0,0,27.75
0,0,1,1,0,0,2,0,0,4,11.0,0,46.9
0,0,1,0,1,0,0,1,0,2,22.0,0,7.2292
1,1,0,1,0,2,3,1,0,1,38.0,1,80.0
0,1,0,1,0,3,0,0,1,3,45.0,1,83.475
0,0,1,1,0,0,2,0,0,5,4.0,0,27.9
0,1,0,0,1,0,0,1,0,1,30.0,0,27.7208
0,0,1,0,1,0,2,0,1,5,3.5,0,15.2458
1,0,0,1,0,6,4,1,0,1,29.0,0,10.5
0,0,1,1,0,0,0,1,0,2,19.0,0,8.1583
1,0,1,1,0,0,3,0,0,4,17.0,0,7.925
0,0,1,1,0,0,0,0,1,1,26.0,0,8.6625
0,0,0,1,0,0,0,1,0,1,32.0,0,10.5
1,0,1,1,0,0,3,0,0,4,16.0,0,46.9
0,0,0,1,0,0,0,1,0,2,21.0,1,73.5
0,0,1,0,1,0,0,0,1,1,26.0,0,14.4542
0,0,1,1,0,0,0,1,0,1,32.0,1,56.4958
0,0,1,1,0,6,0,1,0,2,25.0,0,7.65
0,0,1,1,0,0,0,1,0,1,30.0,0,7.8958
0,0,1,1,0,0,0,1,0,1,30.0,0,8.05
0,0,0,1,0,0,2,0,1,5,0.83,0,29.0
1,0,1,1,0,0,3,1,0,1,30.0,0,12.475
0,0,1,1,0,0,0,1,0,2,22.0,0,9.0
0,0,1,1,0,0,0,1,0,1,29.0,0,9.5
1,0,1,0,0,0,3,1,0,2,21.0,0,7.7875
0,1,0,1,0,0,0,1,0,1,28.0,0,47.1
1,0,0,1,0,0,3,1,0,4,17.0,0,10.5
1,0,1,1,0,0,4,0,1,1,33.0,0,15.85
0,0,1,1,0,0,0,0,0,4,16.0,0,34.375
0,0,1,1,0,0,0,1,0,1,30.0,0,8.05
1,1,0,1,0,3,3,0,0,2,23.0,2,263.0
0,0,1,1,0,0,0,1,0,2,24.0,0,8.05
0,0,1,1,0,0,0,1,0,1,29.0,0,8.05
0,0,1,1,0,0,0,1,0,2,20.0,0,7.8542
0,1,0,1,0,5,0,0,1,3,46.0,1,61.175
0,0,1,1,0,0,0,0,1,1,26.0,0,20.575
0,0,1,1,0,0,0,1,0,3,59.0,0,7.25
0,0,1,1,0,0,0,1,0,1,30.0,0,8.05
0,1,0,0,1,1,0,1,0,0,71.0,0,34.6542
0,1,0,0,1,4,0,0,1,2,23.0,1,63.3583
1,0,0,1,0,0,4,0,1,1,34.0,0,23.0
0,0,0,1,0,0,0,0,1,1,34.0,0,26.0
1,0,1,1,0,0,3,1,0,1,28.0,0,7.8958
0,0,1,1,0,0,0,1,0,1,30.0,0,7.8958
0,1,0,1,0,4,0,0,1,2,21.0,1,77.2875
0,0,1,1,0,0,0,1,0,1,33.0,0,8.6542
0,0,1,1,0,0,0,0,1,1,37.0,0,7.925
0,0,1,1,0,0,0,1,0,1,28.0,0,7.8958
1,0,1,1,0,0,3,1,0,2,21.0,0,7.65
0,0,1,1,0,0,0,1,0,1,30.0,0,7.775
0,0,1,1,0,0,0,1,0,1,38.0,0,7.8958
1,0,1,0,0,0,3,0,1,2,21.0,0,24.15
0,1,0,1,0,3,0,1,0,3,47.0,1,52.0
1,0,1,0,1,0,3,0,1,4,14.5,0,14.4542
0,0,1,1,0,0,0,1,0,2,22.0,0,8.05
1,0,1,1,0,0,3,0,1,2,20.0,0,9.825
1,0,1,0,1,0,3,1,0,4,17.0,0,14.4583
0,0,1,1,0,0,0,1,0,2,21.0,0,7.925
0,0,1,0,0,0,0,1,0,0,70.5,0,7.75
0,0,0,1,0,0,0,0,1,1,29.0,0,21.0
0,1,0,0,1,2,0,0,1,2,24.0,2,247.5208
1,0,1,1,0,0,3,0,0,5,2.0,0,31.275
0,0,0,1,0,0,0,0,1,2,21.0,1,73.5
0,0,1,1,0,0,0,1,0,1,30.0,0,8.05
0,0,0,0,1,0,0,0,1,1,32.5,0,30.0708
1,0,0,1,0,5,3,1,0,1,32.5,0,13.0
0,1,0,1,0,4,0,0,1,3,54.0,1,77.2875
0,0,1,0,1,0,2,0,1,4,12.0,0,11.2417
0,0,1,0,0,0,0,1,0,1,30.0,0,7.75
0,0,1,1,0,0,0,1,0,2,24.0,0,7.1417
1,0,1,0,1,6,3,0,1,2,21.0,0,22.3583
0,0,1,1,0,0,0,1,0,3,45.0,0,6.975
0,0,1,0,1,0,0,1,0,1,33.0,0,7.8958
0,0,1,1,0,0,0,1,0,2,20.0,0,7.05
1,0,1,1,0,0,4,0,1,3,47.0,0,14.5
1,0,0,1,0,0,4,0,1,1,29.0,0,26.0
0,0,0,1,0,0,0,1,0,2,25.0,0,13.0
0,0,0,0,1,0,0,1,0,2,23.0,0,15.0458
1,1,0,1,0,4,3,0,1,2,19.0,0,26.2833
0,1,0,1,0,3,0,0,1,1,37.0,1,53.1
0,0,1,1,0,0,0,1,0,4,16.0,0,9.2167
0,1,0,0,1,2,0,1,0,2,24.0,1,79.2
1,0,1,0,1,0,4,0,1,1,35.0,0,15.2458
1,0,1,1,0,0,3,1,0,2,22.0,0,7.75
1,0,1,1,0,0,4,0,1,2,24.0,0,15.85
0,0,1,0,0,0,0,1,0,2,19.0,0,6.75
0,0,0,1,0,0,0,1,0,4,18.0,0,11.5
0,0,0,1,0,0,0,0,1,2,19.0,0,36.75
0,0,1,1,0,0,0,1,0,1,27.0,0,7.7958
1,0,1,1,0,0,3,0,0,5,9.0,0,34.375
0,0,0,1,0,6,0,0,1,1,36.5,0,26.0
0,0,0,1,0,0,1,1,0,3,42.0,0,13.0
0,0,0,1,0,0,1,1,0,3,51.0,0,12.525
1,1,0,1,0,3,4,0,1,2,22.0,1,66.6
0,0,1,1,0,0,0,1,0,3,55.5,0,8.05
0,0,1,1,0,0,0,0,1,3,40.5,0,14.5
0,0,1,1,0,0,0,1,0,1,30.0,0,7.3125
0,1,0,0,1,0,0,0,1,3,51.0,1,61.3792
1,0,1,0,0,0,3,1,0,4,16.0,0,7.7333
0,0,1,1,0,0,0,1,0,1,30.0,0,8.05
0,0,1,1,0,0,0,1,0,1,30.0,0,8.6625
0,0,1,1,0,0,2,0,0,5,3.5,1,69.55
0,0,1,1,0,0,0,0,1,3,44.0,0,16.1
1,0,0,1,0,0,4,1,0,1,40.0,0,15.75
0,0,1,1,0,0,0,1,0,1,26.0,0,7.775
0,0,1,1,0,0,0,1,0,4,17.0,0,8.6625
0,0,1,1,0,0,2,0,0,5,1.0,0,39.6875
0,0,1,1,0,0,2,0,1,5,9.0,0,20.525
1,1,0,1,0,5,4,0,1,1,35.0,1,55.0
1,0,1,1,0,0,4,0,0,3,45.0,0,27.9
0,1,0,1,0,0,0,1,0,1,30.0,0,25.925
0,0,1,1,0,0,0,1,0,1,28.0,1,56.4958
0,1,0,1,0,2,0,1,0,0,61.0,0,33.5
0,0,1,0,0,0,2,0,0,5,4.0,0,29.125
1,0,1,1,0,0,3,0,1,5,1.0,0,11.1333
0,0,1,1,0,0,0,1,0,2,21.0,0,7.925
0,1,0,0,1,1,0,1,0,3,56.0,0,30.6958
0,0,1,1,0,0,0,0,1,4,18.0,0,7.8542
0,0,1,1,0,0,2,0,0,5,3.5,0,25.4667
1,1,0,0,1,3,3,1,0,3,50.0,0,28.7125
0,0,0,1,0,0,0,1,0,1,30.0,0,13.0
0,0,1,1,0,0,0,1,0,1,36.0,0,0.0
1,0,1,1,0,0,3,0,0,2,21.0,1,69.55
0,0,0,0,1,0,0,1,0,1,30.0,0,15.05
0,0,1,1,0,0,2,0,0,5,9.0,0,31.3875
0,0,0,1,0,6,2,0,1,5,1.0,0,39.0
1,0,1,1,0,0,3,0,1,5,4.0,0,22.025
0,1,0,1,0,1,0,1,0,1,30.0,1,50.0
1,0,1,0,0,0,4,0,1,1,35.0,0,15.5
0,1,0,1,0,0,0,1,0,3,45.0,0,26.55
0,0,1,0,0,0,0,0,1,1,40.0,0,15.5
0,0,1,1,0,0,0,1,0,1,36.0,0,7.8958
1,0,0,1,0,0,4,1,0,1,32.0,0,13.0
0,0,0,1,0,0,0,1,0,2,19.0,0,13.0
1,0,1,1,0,0,3,0,1,2,19.0,0,7.8542
0,0,0,1,0,6,2,0,1,5,3.0,0,26.0
1,1,0,0,1,2,4,1,0,3,44.0,0,27.7208
1,1,0,0,1,2,3,1,0,3,58.0,2,146.5208
0,0,1,0,0,0,0,1,0,1,30.0,0,7.75
0,0,1,1,0,0,0,0,1,3,42.0,0,8.4042
1,0,1,0,0,0,3,1,0,2,21.0,0,7.75
1,0,0,1,0,0,3,1,0,2,24.0,0,13.0
0,0,1,1,0,0,0,1,0,1,28.0,0,9.5
0,0,1,1,0,0,0,0,0,1,30.0,1,69.55
0,0,1,1,0,0,0,1,0,1,34.0,0,6.4958
0,0,1,0,1,0,0,1,0,3,45.5,0,7.225
0,0,1,1,0,0,0,1,0,4,18.0,0,8.05
1,0,1,1,0,7,3,0,1,5,2.0,0,10.4625
0,0,1,1,0,0,0,0,1,1,32.0,0,15.85
0,0,1,0,1,0,0,1,0,1,26.0,0,18.7875
1,0,1,0,0,0,3,1,0,4,16.0,0,7.75
0,1,0,0,1,1,0,1,0,1,40.0,0,31.0
0,0,1,1,0,0,0,1,0,2,24.0,0,7.05
1,0,0,1,0,0,3,1,0,1,35.0,0,21.0
0,0,1,1,0,0,0,1,0,2,22.0,0,7.25
0,0,0,1,0,0,0,1,0,1,30.0,0,13.0
0,0,1,0,0,0,0,0,1,1,30.0,0,7.75
1,1,0,0,1,4,3,0,1,1,31.0,2,113.275
1,0,1,1,0,0,3,1,0,1,27.0,0,7.925
0,0,0,1,0,0,0,0,1,3,42.0,0,27.0
1,1,0,0,1,4,3,1,0,1,32.0,1,76.2917
0,0,0,1,0,0,0,1,0,1,30.0,0,10.5
0,0,1,1,0,0,0,1,0,4,16.0,0,8.05
0,0,0,1,0,0,0,1,0,1,27.0,0,13.0
0,0,1,1,0,0,0,1,0,3,51.0,0,8.05
0,0,1,1,0,0,0,1,0,1,30.0,0,7.8958
0,1,0,1,0,3,0,0,1,1,38.0,1,90.0
0,0,1,1,0,0,0,1,0,2,22.0,0,9.35
0,0,0,1,0,0,0,1,0,2,19.0,0,10.5
0,0,1,1,0,0,0,1,0,2,20.5,0,7.25
0,0,0,1,0,0,0,1,0,4,18.0,0,13.0
1,0,1,1,0,0,3,0,0,2,21.0,0,25.4667
1,1,0,1,0,3,4,0,1,1,35.0,1,83.475
0,0,1,1,0,0,0,1,0,1,29.0,0,7.775
0,0,0,1,0,0,0,1,0,3,59.0,0,13.5
1,0,1,1,0,0,3,0,0,5,5.0,0,31.3875
0,0,0,1,0,0,0,1,0,2,24.0,0,10.5
1,0,1,1,0,0,3,1,0,2,21.0,0,7.55
0,0,0,1,0,0,0,0,1,3,44.0,0,26.0
1,0,0,1,0,0,3,0,1,5,8.0,0,26.25
0,0,0,1,0,0,0,1,0,2,19.0,0,10.5
0,0,0,1,0,0,0,1,0,1,33.0,0,12.275
1,0,1,0,1,0,3,0,1,2,21.0,0,14.4542
1,0,1,0,0,0,3,0,1,2,21.0,0,15.5
0,0,0,1,0,0,0,1,0,1,29.0,0,10.5
0,0,1,1,0,0,0,1,0,2,22.0,0,7.125
0,0,1,0,1,0,0,1,0,1,30.0,0,7.225
0,1,0,0,0,3,1,0,1,3,44.0,1,90.0
1,0,1,1,0,0,3,1,0,2,25.0,0,7.775
1,0,0,1,0,0,4,0,1,2,24.0,0,14.5
0,1,0,1,0,4,0,0,1,1,37.0,1,52.5542
0,0,0,1,0,0,1,0,1,3,54.0,0,26.0
0,0,1,1,0,0,0,1,0,1,30.0,0,7.25
1,0,1,1,0,7,4,0,1,1,29.0,0,10.4625
0,1,0,1,0,3,0,1,0,0,62.0,0,26.55
0,0,1,1,0,0,0,0,1,1,30.0,0,16.1
1,0,1,1,0,0,4,0,1,3,41.0,0,20.2125
1,0,1,0,1,0,4,0,1,1,29.0,0,15.2458
1,1,0,0,1,0,4,1,0,1,35.0,1,79.2
1,1,0,1,0,2,3,1,0,1,30.0,1,86.5
1,1,0,0,1,0,3,1,0,1,35.0,2,512.3292
1,0,0,1,0,0,4,0,1,3,50.0,0,26.0
0,0,1,0,0,0,0,1,0,1,30.0,0,7.75
0,0,1,1,0,0,2,0,0,5,3.0,0,31.3875
0,1,0,1,0,5,0,0,1,3,52.0,1,79.65
0,1,0,1,0,2,0,1,0,1,40.0,0,0.0
1,0,1,0,0,0,3,1,0,2,21.0,0,7.75
0,0,0,1,0,0,0,1,0,1,36.0,0,10.5
0,0,1,1,0,0,0,0,0,4,16.0,0,39.6875
0,0,1,1,0,0,0,0,1,2,25.0,0,7.775
1,1,0,1,0,3,4,0,1,3,58.0,2,153.4625
1,1,0,1,0,3,3,1,0,1,35.0,2,135.6333
0,1,0,1,0,0,0,1,0,1,30.0,0,31.0
0,0,1,1,0,0,0,1,0,2,25.0,0,0.0
1,0,0,1,0,0,4,0,1,3,41.0,0,19.5
0,1,0,0,1,3,0,0,1,1,37.0,0,29.7
1,0,1,0,0,0,3,1,0,2,21.0,0,7.75
1,1,0,1,0,4,3,0,1,0,63.0,1,77.9583
1,0,1,1,0,0,3,1,0,3,45.0,0,7.75
0,0,0,1,0,0,0,1,0,1,30.0,0,0.0
0,0,1,0,0,0,2,0,0,5,7.0,0,29.125
1,0,1,1,0,0,4,0,1,1,35.0,0,20.25
0,0,1,0,0,0,0,1,0,0,65.0,0,7.75
0,0,1,1,0,0,0,1,0,1,28.0,0,7.8542
0,0,1,1,0,0,0,1,0,4,16.0,0,9.5
0,0,1,1,0,0,0,1,0,2,19.0,0,8.05
0,1,0,1,0,1,0,1,0,1,30.0,0,26.0
0,0,1,0,1,0,0,1,0,1,33.0,0,8.6625
0,0,1,1,0,0,0,1,0,1,30.0,0,9.5
0,0,1,1,0,0,0,1,0,2,22.0,0,7.8958
0,0,0,1,0,0,0,1,0,3,42.0,0,13.0
1,0,1,0,0,0,3,1,0,2,22.0,0,7.75
1,1,0,1,0,0,3,1,0,1,26.0,1,78.85
1,1,0,0,1,2,4,0,1,2,19.0,1,91.0792
0,0,0,0,1,4,0,1,0,1,36.0,0,12.875
1,0,1,1,0,0,3,1,0,2,24.0,0,8.85
